PMID,Journal ISSN,Publication Year,Journal Title,Journal ISO,Journal Country,Journal Impact Factor,Impact Factor Without Journal Self Cites,Five Year Impact Factor,Article Title,Paper Country,Times Cited,Grants,Keywords,WOS Research Areas,WOS Categories,Mesh Headings,Number of Authors,Number of Student Authors,Percentage of Students,Is 1st Author a Student?,Solely by students?
29564405,2452-2325,2018,Journal of current ophthalmology,J Curr Ophthalmol,Iran,,,,Orbital invasion of ameloblastoma: A systematic review apropos of a rare entity.,Iran,,-,"Vision, Review, Eye, Orbit, Ameloblastoma",,,-,11,0,0.00,No,No
29552675,2468-8673,2018,Current opinion in physiology,Curr Opin Physiol,United States,,,,Cardiac pathophysiology in response to environmental stress: a current review.,United States,,"( NHLBI NIH HHS / United States ) , ( NIA NIH HHS / United States ) , ( NIEHS NIH HHS / United States ) , ( NINR NIH HHS / United States )","heart, environmental stress, Particulate matter, oxidative stress, inflammation, cardiovascular mortality",,,-,5,0,0.00,No,No
29441211,2090-6668,2017,Case reports in neurological medicine,Case Rep Neurol Med,United States,,,,A Rare Case of Craniopharyngioma in the Temporal Lobe.,Iran,,-,-,,,-,4,0,0.00,No,No
29387120,1735-1995,2017,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,J Res Med Sci,India,1.237,1.133,1.133,Premedication with benzodiazepines for upper gastrointestinal endoscopy: Comparison between oral midazolam and sublingual alprazolam.,Iran,0,-,"Anxiety, benzodiazepines, endoscopy, sedation, esophagogastroduodenoscopy, premedication",General & Internal Medicine,"Medicine, General & Internal",-,6,0,0.00,No,No
29383051,1936-9018,2018,The western journal of emergency medicine,West J Emerg Med,United States,,,,Tracking Student Mistreatment Data to Improve the Emergency Medicine Clerkship Learning Environment.,United States,,-,-,,,-,5,0,0.00,No,No
29379594,2008-2258,2017,Gastroenterology and hepatology from bed to bench,Gastroenterol Hepatol Bed Bench,Iran,,,,Reliability and validity of the Persian version of patient assessment of constipation- quality of life (PAC-QOL) questionnaire.,Iran,,-,"Reliability, Persian, Constipation, Validity, Quality of life",,,-,6,0,0.00,No,No
29334444,0038-3317,2017,South Dakota medicine : the journal of the South Dakota State Medical Association,S D Med,United States,,,,Pregnancy and Parenthood During Medical School.,United States,,-,-,,,-,5,0,0.00,No,No
29285476,2277-9175,2017,Advanced biomedical research,Adv Biomed Res,India,,,,Vitamin D Status in Small Vessel and Large Vessel Ischemic Stroke Patients: A Case-control Study.,Iran,,-,"25-hydroxyvitamin D, stroke, 25(OH) Vit D, large vessel, small vessel",,,-,5,0,0.00,No,No
29282359,1476-5608,2018,Prostate cancer and prostatic diseases,Prostate Cancer Prostatic Dis.,England,3.723,3.589,3.283,The molecular biology of prostate cancer: current understanding and clinical implications.,"(Grenada, United States)",0,-,-,Oncology; Urology & Nephrology,Oncology; Urology & Nephrology,-,8,0,0.00,No,No
29249648,1872-7484,2018,Autonomic neuroscience : basic & clinical,Auton Neurosci,Netherlands,,,,"Congenital central hypoventilation syndrome: An overview of etiopathogenesis, associated pathologies, clinical presentation, and management.",United States,,-,"Sudden infant death syndrome, Ondine's curse, Congenital central hypoventilation syndrome, Diaphragm pacing, Hirschsprung's disease, Positive-pressure ventilation, Progestin",,,-,5,0,0.00,No,No
