PMID,Journal ISSN,Publication Year,Journal Title,Journal ISO,Journal Country,Journal Impact Factor,Impact Factor Without Journal Self Cites,Five Year Impact Factor,Article Title,Paper Country,Times Cited,Grants,Keywords,WOS Research Areas,WOS Categories,Mesh Headings,Number of Authors,Number of Student Authors,Percentage of Students,Is 1st Author a Student?,Solely by students?
29698162,2212-1102,2015,Value in health regional issues,Value Health Reg Issues,United States,,,,Comparación de costos y resultados sanitarios de usuarios con neumonia adquirida en comunidad atendidos en domicilio o en hospitalización tradicional: estudio exploratorio de 40 casos.,Chile,,-,"cost, community pneumonia, home-based care",,,-,3,1,33.33,No,No
29696036,1726-913X,2018,International journal of endocrinology and metabolism,Int J Endocrinol Metab,Iran,,,,Malignancy Rates in Thyroid Nodules Classified as Bethesda Categories III and IV: Retrospective Data from a Tertiary Center.,,0,-,"Thyroid Nodule, Incidental Findings, Thyroidectomy, Thyroid Neoplasms, Thyroid Cytology, Needle Biopsy",Endocrinology & Metabolism,Endocrinology & Metabolism,-,7,1,14.29,No,No
29560165,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Modelling the regional vulnerability to Echinococcosis based on environmental factors using fuzzy inference system: A case study of Lorestan Province, west of Iran.",Iran,,-,"Echinococcosis, environmental variables, fuzzy inference system, regional vulnerability",,,-,4,1,25.00,No,No
29560141,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Maternal-fetal Rhesus (Rh) factor incompatibility in Arar, northern Saudi Arabia.",Saudi Arabia,,-,"Rh negative, Knowledge, Mothers, Arar city, Anti-D immunoglobulin, Rh incompatibility",,,-,16,3,18.75,No,No
29560140,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Pattern of childhood brucellosis in Najran, south Saudi Arabia in 2013-2017.",Saudi Arabia,,-,"Brucellosis, Najran, Saudi Arabia",,,-,14,9,64.29,No,No
29507856,2168-8184,2017,Cureus,Cureus,United States,,,,Factors Associated with Consuming Junk Food among Saudi Adults in Jeddah City.,,,-,"primary health care centres, restaurants, junk food, adults, prevalence",,,-,7,3,42.86,No,No
29507848,2168-8184,2017,Cureus,Cureus,United States,,,,"""Beer Potomania"" - A Syndrome of Severe Hyponatremia with Unique Pathophysiology: Case Studies and Literature Review.",,,-,"beer-potomania, severe hyponatremia, osmotic demyelination syndrome, osmolar load, serum sodium concentration, potomania vs. siadh, alcoholic beer, dilutional hyponatremia",,,-,8,2,25.00,Yes,No
29492048,1682-024X,2017,Pakistan journal of medical sciences,Pak J Med Sci,Pakistan,0.696,0.648,0.554,Spectrum of Celiac disease in Paediatric population: Experience of Tertiary Care Center from Pakistan.,Pakistan,0,-,"Celiac Disease, Serum Tissue Transglutaminase antibodies, Chronic Diarrhea, Gluten free Diet",General & Internal Medicine,"Medicine, General & Internal",-,4,1,25.00,No,No
29465842,0332-3102,2017,Irish medical journal,Ir Med J,Ireland,,,,Paediatric Consultation Liaison Psychiatry Services (PCLPS) -what are they actually doing?,,,-,-,,,-,9,1,11.11,Yes,No
29451662,1806-9282,2017,Revista da Associacao Medica Brasileira (1992),Rev Assoc Med Bras (1992),Brazil,0.931,0.909,1.166,"What clinical, functional, and psychological factors before treatment are predictors of poor quality of life in cancer patients at the end of chemotherapy?",Brazil,0,-,-,General & Internal Medicine,"Medicine, General & Internal","Surveys and Questionnaires, (Exercise/psychology), Middle Aged, Cohort Studies, Humans, (Anxiety/psychology), (Antineoplastic Agents/therapeutic use), (Neoplasms/drug therapy/psychology), Female, (Quality of Life/psychology), Male, Risk Factors, (Depression/psychology)",8,1,12.50,No,No
29403615,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Deep venous thrombosis in elderly patients as a surgical emergency at King Abdulaziz University Hospital, Jeddah, Saudi Arabia.",Saudi Arabia,,-,"Surgical emergency, Deep venous thrombosis, Elderly",,,-,10,5,50.00,No,No
29399657,2471-6529,2017,SOJ nursing & health care,SOJ Nurs Health Care,United States,,,,Lay Consultations in Heart Failure Symptom Evaluation.,United States,,( NINR NIH HHS / United States ),"Lay Consultations, Self Care, Heart Failure",,,-,5,1,20.00,No,No
29387507,2168-8184,2017,Cureus,Cureus,United States,,,,Classic and Non-Classic Features in Pseudohypoparathyroidism: Case Study and Brief Literature Review.,,,-,"concomitant carpal tunnel syndrome, albright hereditary osteodystrophy, chromosome 20q13.3, concomitant hypothyroidism, hyperphosphatemia, sensorineural hearing loss, g protein coupled receptor, autosomal dominant pseudohypoparathyroidism, increased hyperparathyroid hormone, hypocalcemia",,,-,3,1,33.33,No,No
29375942,2168-8184,2017,Cureus,Cureus,United States,,,,Pancreatic Divisum: An Unusual Cause of Chronic Pancreatitis in a Young Patient.,,,-,"mrcp, type iii pancreatic divisum, abdominal pain, acute pancreatitis, pancreatic divisum, recurrent pancreatitis, chronic pancreatitis",,,-,3,1,33.33,No,No
29372126,2168-8184,2017,Cureus,Cureus,United States,,,,An Atypical Clinical Presentation of Post-traumatic Syringomyelia: A Case Report and Brief Review of the Literature.,,,-,"non-dissociated sensory loss, syrinx formation from c2-t1, loss of heat and pain sensation, loss of fine-touch, dysesthetic pain, atypical-syringomyelia",,,-,4,2,50.00,Yes,No
29371902,1809-9777,2018,International archives of otorhinolaryngology,Int Arch Otorhinolaryngol,Brazil,,,,Tomographical Findings in Adult Patients Undergoing Endoscopic Sinus Surgery Revision.,Brazil,0,-,"sinusitis, reoperation, otorhinolaryngologic surgical procedures",Otorhinolaryngology,Otorhinolaryngology,-,3,2,66.67,No,No
29366630,1879-0070,2018,Diagnostic microbiology and infectious disease,Diagn. Microbiol. Infect. Dis.,United States,,,,"An advanced uracil DNA glycosylase-supplemented loop-mediated isothermal amplification (UDG-LAMP) technique used in the sensitive and specific detection of Cryptosporidium parvum, Cryptosporidium hominis, and Cryptosporidium meleagridis in AIDS patients.",Iran,,-,"AIDS patients, Rapid, Detection, Sensitive, Cryptosporidium spp., UDG-LAMP",,,-,10,1,10.00,No,No
29364442,1806-4841,2017,Anais brasileiros de dermatologia,An Bras Dermatol,Brazil,0.978,0.900,1.091,Rare desmoplastic trichilemmoma associated with sebaceous nevus.,Brazil,0,-,-,Dermatology,Dermatology,"Rare Diseases, (Nevus, Sebaceous of Jadassohn/complications/pathology), (Skin Neoplasms/pathology), (Hair Diseases/etiology/pathology), Humans, Female, Middle Aged, (Hair Follicle/pathology), (Scalp/pathology), (Carcinoma, Basal Cell/pathology)",4,1,25.00,No,No
29340258,2168-8184,2017,Cureus,Cureus,United States,,,,Atypical Initial Presentation of Painful Muscle Cramps in a Patient with Amyotrophic Lateral Sclerosis: A Case Report and Brief Review of the Literature.,,,-,"muscle cramps, amyotrophic lateral sclerosis (als), atypical presentation, early diagnosis",,,-,4,2,50.00,No,No
29339948,1554-7914,2017,Gastroenterology & hepatology,Gastroenterol Hepatol (N Y),United States,,,,Update on Functional Heartburn.,United States,,-,"upper endoscopy, Heartburn, esophagus, pH testing, proton pump inhibitor",,,-,3,1,33.33,No,No
29328791,1750-4589,2017,Journal of perioperative practice,J Perioper Pract,England,,,,How noisy are total knee and hip replacements?,,,-,"Noise-induced hearing loss, Orthopaedic surgery, Orthopaedic tools, Arthroplasty",,,-,2,1,50.00,Yes,No
